"Domain","Value","Order Sequence"
"AIMS_REFERRAL_SOURCE","IRPG - Information and Referral Services - for Problem Gambling","16"
"AIMS_REFERRAL_SOURCE","LEGL - Legal System","17"
"AIMS_REFERRAL_SOURCE","MULT - Multicultural Centre/Service","18"
"AIMS_REFERRAL_SOURCE","CYMH - Child and Youth Mental Health","19"
"AIMS_REFERRAL_SOURCE","MHLT - Mental Health Services (Adult or Child)","20"
"AIMS_REFERRAL_SOURCE","MHRS - Ministry of Human Resources staff","21"
"AIMS_REFERRAL_SOURCE","NADP - National Native A&D Abuse Programs","22"
"AIMS_REFERRAL_SOURCE","PUBL - Public Health","23"
"AIMS_REFERRAL_SOURCE","PHYS - Physician","24"
"AIMS_REFERRAL_SOURCE","SELF - Self referral","25"
"AIMS_REFERRAL_SOURCE","STEP - Support Group","26"
"AIMS_REFERRAL_SOURCE","OSMV - Superintendent of Motor Vehicles","27"
"AIMS_REFERRAL_SOURCE","OMCF - Other MCF staff","28"
"AIMS_REFERRAL_SOURCE","OTHR - Other","29"
"AIMS_REFERRAL_SOURCE","XXAB - Referral from Alberta","30"
"AIMS_REFERRAL_SOURCE","XXMB - Referral from Manitoba","31"
"AIMS_REFERRAL_SOURCE","XXNB - Referral from New Brunswick","32"
"AIMS_REFERRAL_SOURCE","XXNF - Referral from Newfoundland","33"
"AIMS_REFERRAL_SOURCE","XXPE - Referral from Prince Edward Island","34"
"AIMS_REFERRAL_SOURCE","XXNT - Referral from Northwest Territories","35"
"AIMS_REFERRAL_SOURCE","XXON - Referral from Ontario","36"
"AIMS_REFERRAL_SOURCE","XXQC - Referral from Quebec","37"
"AIMS_REFERRAL_SOURCE","XXYT - Referral from Yukon","38"
"AIMS_REFERRAL_SOURCE","XXNS - Referral from Nova Scotia","39"
"AIMS_REFERRAL_SOURCE","XXSK - Referral from Saskatchewan","40"
"AIMS_REFERRAL_SOURCE","XUSA - Referral from United States","41"
"AIMS_REFERRAL_SOURCE","XANT - Referral from Netherlands Antilles","42"
"AIMS_REFERRAL_SOURCE","XARE - Referral from United Arab Emirates","43"
"AIMS_REFERRAL_SOURCE","PROB - Probation","44"
"AIMS_REFERRAL_SOURCE","EMPP - Employment Centre or program","45"
"AIMS_REFERRAL_SOURCE","PSYC - Psychologist or Psychiatrist","46"
"AIMS_REFERRAL_SOURCE","RNAF - Risk Needs Assessment Form","47"
"HEALTH_AUTHORITY","Fraser","1"
"HEALTH_AUTHORITY","Vancouver Island","2"
"HEALTH_AUTHORITY","Vancouver Coastal","3"
"HEALTH_AUTHORITY","Northern","4"
"HEALTH_AUTHORITY","Interior","5"
"HEALTH_AUTHORITY","1InteriorIha","6"
"HEALTH_AUTHORITY","2FraserFha","7"
"LANGUAGE","ABR - Aboriginal language","1"
"LANGUAGE","ASL - American Sign language","2"
"LANGUAGE","ARA - Arabic","3"
"LANGUAGE","CAN - Cantonese","4"
"LANGUAGE","CZH - Czech","5"
"LANGUAGE","DCH - Dutch","6"
"LANGUAGE","FRS - Farsi","7"
"LANGUAGE","FNN - Finnish","8"
"LANGUAGE","FRE - French","9"
"LANGUAGE","GRM - German","10"
"LANGUAGE","GRK - Greek","11"
"LANGUAGE","HND - Hindi","12"
"LANGUAGE","HNG - Hungarian","13"
"LANGUAGE","IND - Indonesian","14"
"LANGUAGE","ITL - Italian","15"
"LANGUAGE","JPN - Japanese","16"
"LANGUAGE","KRN - Korean","17"
"LANGUAGE","MLY - Malaysian","18"
"LANGUAGE","MAN - Mandarin","19"
"LANGUAGE","NRW - Norwegian","20"
"LANGUAGE","PKS - Pakistani","21"
"LANGUAGE","PLS - Polish","22"
"LANGUAGE","PRG - Portuguese","23"
"LANGUAGE","PNJ - Punjabi","24"
"LANGUAGE","RSS - Russian","25"
"LANGUAGE","SLV - Slovak","26"
"LANGUAGE","SPA - Spanish","27"
"LANGUAGE","SWD - Swedish","28"
"LANGUAGE","TAG - Tagalog (Filipino)","29"
"LANGUAGE","TRK - Turkish","30"
"LANGUAGE","VTN - Vietnamese","31"
"LANGUAGE","OTH - Other language not listed","32"
"LANGUAGE","NVL - Invalid Code","33"
"LANGUAGE","ENG - English","34"
"EDUCATION_LEVEL","ELM - Elementary school or some high school","1"
"EDUCATION_LEVEL","HSG - Graduated high school","2"
"EDUCATION_LEVEL","CVT - Some college, vocational, technical, or trade school completion","3"
"EDUCATION_LEVEL","UND - Undergraduate degree","4"
"EDUCATION_LEVEL","GRD - Graduate degree","5"
"EDUCATION_LEVEL","NVL - Invalid Code","6"
"MARITAL_STATUS","SNG - Single, never been married","7"
"MARITAL_STATUS","CLR - Living common law or in a long term relationship","8"
"MARITAL_STATUS","MAR - Married","9"
"MARITAL_STATUS","DIV - Divorced/Separated","10"
"MARITAL_STATUS","WID - Widow or widower","11"
"MARITAL_STATUS","NVL - Invalid Code","12"
"MARITAL_STATUS","SEP - Separated","13"
"EMPLOYMENT_STATUS","FLT - Full time employment","1"
"EMPLOYMENT_STATUS","FTS - Full time seasonal employment (self-employed)","2"
"EMPLOYMENT_STATUS","HOM - Homemaker","3"
"EMPLOYMENT_STATUS","NLF - Not in the labour force (Ineligible to work)","4"
"EMPLOYMENT_STATUS","PRT - Part time employment","5"
"EMPLOYMENT_STATUS","PTS - Part time seasonal employment","6"
"EMPLOYMENT_STATUS","RET - Retired","7"
"EMPLOYMENT_STATUS","STU - Student, attending any education institution","8"
"EMPLOYMENT_STATUS","UEM - Unemployed","9"
"SUBSTANCE_MIS_AFF","Substance Misuse","1"
"SUBSTANCE_MIS_AFF","Substance Affected","2"
"SUBSTANCE_RELATION","CHL Child of parent with addiction issues","1"
"SUBSTANCE_RELATION","CWK Co-worker of a person with addiction issues","2"
"SUBSTANCE_RELATION","EMP Employer of a person with addiction issues","3"
"SUBSTANCE_RELATION","FRD Friend of a person with addiction issues","4"
"SUBSTANCE_RELATION","OTH Other than any of the above","5"
"SUBSTANCE_RELATION","OTR Other relative of a person with addiction issues","6"
"SUBSTANCE_RELATION","PRT Parent of a child with addiction issues","7"
"SUBSTANCE_RELATION","PTN Partner to a person with addiction issues","8"
"PRIMARY_DRUG_OF_CHOICE","CAN - Cannabis","1"
"PRIMARY_DRUG_OF_CHOICE","COC - Cocaine","2"
"PRIMARY_DRUG_OF_CHOICE","HAL - Hallucinogen","3"
"PRIMARY_DRUG_OF_CHOICE","BAR - Barbiturate","4"
"PRIMARY_DRUG_OF_CHOICE","AMP - Amphetamine","5"
"PRIMARY_DRUG_OF_CHOICE","HER - Heroin","6"
"PRIMARY_DRUG_OF_CHOICE","OPT - Opiate","7"
"PRIMARY_DRUG_OF_CHOICE","INH - Inhalant","8"
"PRIMARY_DRUG_OF_CHOICE","IMT - Illicit Methadone","9"
"PRIMARY_DRUG_OF_CHOICE","BEN - Benzodiazepine","10"
"PRIMARY_DRUG_OF_CHOICE","OTC - Over the counter drugs","11"
"PRIMARY_DRUG_OF_CHOICE","OPD - Other prescription drugs","12"
"PRIMARY_DRUG_OF_CHOICE","OTH - Other drugs not listed","13"
"PRIMARY_DRUG_OF_CHOICE","ALC - Alcohol","14"
"PRIMARY_DRUG_OF_CHOICE","MA - Methamphetamine","15"
"QUARTER","Q1","1"
"QUARTER","Q2","2"
"QUARTER","Q3","3"
"QUARTER","Q4","4"
"ADMIN_SCREEN_REF","Admitted","1"
"ADMIN_SCREEN_REF","Screened","2"
"ADMIN_SCREEN_REF","Referred","3"
"DISCHARGE_TYPE","Discharged","1"
"DISCHARGE_TYPE","Screen only","2"
"DISCHARGE_PRG_COMP_TYPE","Completed","1"
"DISCHARGE_PRG_COMP_TYPE","Incomplete","2"
"DISCHARGE_PRG_COMP_TYPE","Client Deceased","3"
"REFERRAL_TARGET","ABCP Aboriginal Child Protection","1"
"REFERRAL_TARGET","ABOR - Aboriginal Organization","2"
"REFERRAL_TARGET","BANK - Bankruptcy Trustee","3"
"REFERRAL_TARGET","CHPR - Child Protection","4"
"REFERRAL_TARGET","CLGY - Clergy","5"
"REFERRAL_TARGET","COMM - Community Service Organization","6"
"REFERRAL_TARGET","CSAM Corrections Substance Abuse Management","7"
"REFERRAL_TARGET","CYMH Child and Youth Mental Health","8"
"REFERRAL_TARGET","DEBT Debtor's Assistance Agency","9"
"REFERRAL_TARGET","EAPL Employee Assistance Plan","10"
"REFERRAL_TARGET","EDUC Educational Institute","11"
"REFERRAL_TARGET","EMPL Employer","12"
"REFERRAL_TARGET","EMPP Employment Center or Program","13"
"REFERRAL_TARGET","FAMI Family/Friend","14"
"REFERRAL_TARGET","GAMB Gambling or Gaming Facility","15"
"REFERRAL_TARGET","HOSP Hospital","16"
"REFERRAL_TARGET","IRAD Referral Services for Alcohol and Drug","17"
"REFERRAL_TARGET","IRPG Referral Services for Problem Gambling","18"
"REFERRAL_TARGET","LEGL Legal System","19"
"REFERRAL_TARGET","MHLT Mental Health Services","20"
"REFERRAL_TARGET","MHRS Ministry of Human Resources","21"
"REFERRAL_TARGET","MULT Multicultural Centre/Service","22"
"REFERRAL_TARGET","NADP National Native A&D Programs","23"
"REFERRAL_TARGET","OMCF Other MCFD Staff","24"
"REFERRAL_TARGET","OSMV Superintendent of Motor Vehicles","25"
"REFERRAL_TARGET","OTHR Other","26"
"REFERRAL_TARGET","PHYS Physician","27"
"REFERRAL_TARGET","PROB Probation","28"
"REFERRAL_TARGET","PSYC Psychologist or Psychiatrist","29"
"REFERRAL_TARGET","PUBL Public Health","30"
"REFERRAL_TARGET","RNAF Risk Needs Assessment Form8","31"
"REFERRAL_TARGET","SELF Self Referral","32"
"REFERRAL_TARGET","STEP Support Group","33"
"REFERRAL_TARGET","XX** Outside of BC, another Province","34"
"REFERRAL_TARGET","XXAB AB-Alberta","35"
"REFERRAL_TARGET","XXMB MB-Manitoba","36"
"REFERRAL_TARGET","XXNB NB-New Brunswick","37"
"REFERRAL_TARGET","XXNF NF-Newfoundland","38"
"REFERRAL_TARGET","XXNS NS-Nova Scotia","39"
"REFERRAL_TARGET","XXNT NT-Northwest Territories","40"
"REFERRAL_TARGET","XXON ON-Ontario","41"
"REFERRAL_TARGET","XXPE PE-Prince Edward Island","42"
"REFERRAL_TARGET","XXQC QC-Quebec","43"
"REFERRAL_TARGET","XXSK SK-Saskatchewan","44"
"REFERRAL_TARGET","XXYT YT-Yukon","45"
"REFERRAL_TARGET","XANT Referral from Netherlands Antilles","46"
"REFERRAL_TARGET","XARE Referral from United Arab Emirates","47"
"REFERRAL_TARGET","XUSA Referral from United States","48"
"SUBSTANCE","Alcohol","1"
"SUBSTANCE","Cannabis","2"
"SUBSTANCE","Cocaine","3"
"SUBSTANCE","Hallucinogen","4"
"SUBSTANCE","Barbiturate","5"
"SUBSTANCE","Amphetamine","6"
"SUBSTANCE","Heroin","7"
"SUBSTANCE","Opiate","8"
"SUBSTANCE","Inhalant","9"
"SUBSTANCE","Illicit Methadone","10"
"SUBSTANCE","Benzodiazepine","11"
"SUBSTANCE","Other","12"
"SUBSTANCE","Over the Counter Drugs","13"
"SUBSTANCE","Over the Prescription Drugs","14"
"SUBSTANCE","Crystal Methamphetamine/ Methamphetamine","15"
"STANDALONE_FACILITY_TYPE","SS-EOL","1"
"STANDALONE_FACILITY_TYPE","SS-Respite","2"
"STANDALONE_FACILITY_TYPE","SS-CC","3"
"STANDALONE_FACILITY_TYPE","ABI","4"
"STANDALONE_FACILITY_TYPE","None","5"
"LOCAL_HEALTH_AUTHORITY","111 Fernie","1"
"LOCAL_HEALTH_AUTHORITY","112 Cranbrook","2"
"LOCAL_HEALTH_AUTHORITY","113 Kimberley","3"
"LOCAL_HEALTH_AUTHORITY","114 Windermere","4"
"LOCAL_HEALTH_AUTHORITY","115 Creston","5"
"LOCAL_HEALTH_AUTHORITY","116 Golden","6"
"LOCAL_HEALTH_AUTHORITY","121 Kootenay Lake","7"
"LOCAL_HEALTH_AUTHORITY","122 Nelson","8"
"LOCAL_HEALTH_AUTHORITY","123 Castlegar","9"
"LOCAL_HEALTH_AUTHORITY","124 Arrow Lakes","10"
"LOCAL_HEALTH_AUTHORITY","125 Trail","11"
"LOCAL_HEALTH_AUTHORITY","126 Grand Forks","12"
"LOCAL_HEALTH_AUTHORITY","127 Kettle Valley","13"
"LOCAL_HEALTH_AUTHORITY","131 Southern Okanagan","14"
"LOCAL_HEALTH_AUTHORITY","132 Penticton","15"
"LOCAL_HEALTH_AUTHORITY","133 Keremeos","16"
"LOCAL_HEALTH_AUTHORITY","134 Princeton","17"
"LOCAL_HEALTH_AUTHORITY","135 Armstrong/Spallumcheen","18"
"LOCAL_HEALTH_AUTHORITY","136 Vernon","19"
"LOCAL_HEALTH_AUTHORITY","137 Central Okanagan","20"
"LOCAL_HEALTH_AUTHORITY","138 Summerland","21"
"LOCAL_HEALTH_AUTHORITY","139 Enderby","22"
"LOCAL_HEALTH_AUTHORITY","141 Revelstoke","23"
"LOCAL_HEALTH_AUTHORITY","142 Salmon Arm","24"
"LOCAL_HEALTH_AUTHORITY","143 Kamloops","25"
"LOCAL_HEALTH_AUTHORITY","144 100 Mile House","26"
"LOCAL_HEALTH_AUTHORITY","145 North Thompson","27"
"LOCAL_HEALTH_AUTHORITY","146 Cariboo/Chilcotin","28"
"LOCAL_HEALTH_AUTHORITY","147 Lillooet","29"
"LOCAL_HEALTH_AUTHORITY","148 South Cariboo","30"
"LOCAL_HEALTH_AUTHORITY","149 Merritt","31"
"LOCAL_HEALTH_AUTHORITY","211 Hope","32"
"LOCAL_HEALTH_AUTHORITY","212 Chilliwack","33"
"LOCAL_HEALTH_AUTHORITY","213 Abbotsford","34"
"LOCAL_HEALTH_AUTHORITY","214 Mission","35"
"LOCAL_HEALTH_AUTHORITY","215 Agassiz/Harrison","36"
"LOCAL_HEALTH_AUTHORITY","221 New Westminster","37"
"LOCAL_HEALTH_AUTHORITY","222 Burnaby","38"
"LOCAL_HEALTH_AUTHORITY","223 Maple Ridge/Pitt Meadows","39"
"LOCAL_HEALTH_AUTHORITY","224 Tri-Cities","40"
"LOCAL_HEALTH_AUTHORITY","231 Langley","41"
"LOCAL_HEALTH_AUTHORITY","232 Delta","42"
"LOCAL_HEALTH_AUTHORITY","233 Surrey","43"
"LOCAL_HEALTH_AUTHORITY","234 South Surrey/White Rock","44"
"LOCAL_HEALTH_AUTHORITY","311 Richmond","45"
"LOCAL_HEALTH_AUTHORITY","321 Vancouver - City Centre","46"
"LOCAL_HEALTH_AUTHORITY","322 Vancouver - Centre North","47"
"LOCAL_HEALTH_AUTHORITY","323 Vancouver - Northeast","48"
"LOCAL_HEALTH_AUTHORITY","324 Vancouver - Westside","49"
"LOCAL_HEALTH_AUTHORITY","325 Vancouver - Midtown","50"
"LOCAL_HEALTH_AUTHORITY","326 Vancouver - South","51"
"LOCAL_HEALTH_AUTHORITY","331 North Vancouver","52"
"LOCAL_HEALTH_AUTHORITY","332 West Vancouver/Bowen Island","53"
"LOCAL_HEALTH_AUTHORITY","333 Sunshine Coast","54"
"LOCAL_HEALTH_AUTHORITY","334 Powell River","55"
"LOCAL_HEALTH_AUTHORITY","335 Howe Sound","56"
"LOCAL_HEALTH_AUTHORITY","336 Bella Coola Valley","57"
"LOCAL_HEALTH_AUTHORITY","337 Central Coast","58"
"LOCAL_HEALTH_AUTHORITY","411 Greater Victoria","59"
"LOCAL_HEALTH_AUTHORITY","412 Western Communities","60"
"LOCAL_HEALTH_AUTHORITY","413 Saanich Peninsula","61"
"LOCAL_HEALTH_AUTHORITY","414 Southern Gulf Islands","62"
"LOCAL_HEALTH_AUTHORITY","421 Cowichan Valley South","63"
"LOCAL_HEALTH_AUTHORITY","422 Cowichan Valley West","64"
"LOCAL_HEALTH_AUTHORITY","423 Cowichan Valley North","65"
"LOCAL_HEALTH_AUTHORITY","424 Greater Nanaimo","66"
"LOCAL_HEALTH_AUTHORITY","425 Oceanside","67"
"LOCAL_HEALTH_AUTHORITY","426 Alberni/Clayoquot","68"
"LOCAL_HEALTH_AUTHORITY","431 Comox Valley","69"
"LOCAL_HEALTH_AUTHORITY","432 Greater Campbell River","70"
"LOCAL_HEALTH_AUTHORITY","433 Vancouver Island West","71"
"LOCAL_HEALTH_AUTHORITY","434 Vancouver Island North","72"
"LOCAL_HEALTH_AUTHORITY","510 Haida Gwaii","73"
"LOCAL_HEALTH_AUTHORITY","511 Snow Country","74"
"LOCAL_HEALTH_AUTHORITY","512 Prince Rupert","75"
"LOCAL_HEALTH_AUTHORITY","513 Upper Skeena","76"
"LOCAL_HEALTH_AUTHORITY","514 Smithers","77"
"LOCAL_HEALTH_AUTHORITY","515 Kitimat","78"
"LOCAL_HEALTH_AUTHORITY","516 Stikine","79"
"LOCAL_HEALTH_AUTHORITY","517 Terrace","80"
"LOCAL_HEALTH_AUTHORITY","518 Nisga'a","81"
"LOCAL_HEALTH_AUTHORITY","519 Telegraph Creek","82"
"LOCAL_HEALTH_AUTHORITY","521 Quesnel","83"
"LOCAL_HEALTH_AUTHORITY","522 Burns Lake","84"
"LOCAL_HEALTH_AUTHORITY","523 Nechako","85"
"LOCAL_HEALTH_AUTHORITY","524 Prince George","86"
"LOCAL_HEALTH_AUTHORITY","531 Peace River South","87"
"LOCAL_HEALTH_AUTHORITY","532 Peace River North","88"
"LOCAL_HEALTH_AUTHORITY","533 Fort Nelson","89"
"COMM_HLTH_SVC_AREA","1110 Fernie","1"
"COMM_HLTH_SVC_AREA","1120 Cranbrook","2"
"COMM_HLTH_SVC_AREA","1130 Kimberley","3"
"COMM_HLTH_SVC_AREA","1140 Windermere","4"
"COMM_HLTH_SVC_AREA","1150 Creston","5"
"COMM_HLTH_SVC_AREA","1160 Golden","6"
"COMM_HLTH_SVC_AREA","1210 Kootenay Lake","7"
"COMM_HLTH_SVC_AREA","1220 Nelson","8"
"COMM_HLTH_SVC_AREA","1230 Castlegar","9"
"COMM_HLTH_SVC_AREA","1240 Arrow Lakes","10"
"COMM_HLTH_SVC_AREA","1250 Trail","11"
"COMM_HLTH_SVC_AREA","1260 Grand Forks","12"
"COMM_HLTH_SVC_AREA","1270 Kettle Valley","13"
"COMM_HLTH_SVC_AREA","1310 Southern Okanagan","14"
"COMM_HLTH_SVC_AREA","1320 Penticton","15"
"COMM_HLTH_SVC_AREA","1330 Keremeos","16"
"COMM_HLTH_SVC_AREA","1340 Princeton","17"
"COMM_HLTH_SVC_AREA","1350 Armstrong/Spallumcheen","18"
"COMM_HLTH_SVC_AREA","1361 Vernon Centre/Coldstream","19"
"COMM_HLTH_SVC_AREA","1362 North Okanagan/Lumby","20"
"COMM_HLTH_SVC_AREA","1371 Central Okanagan Rural","21"
"COMM_HLTH_SVC_AREA","1372 West Kelowna","22"
"COMM_HLTH_SVC_AREA","1373 Lake Country","23"
"COMM_HLTH_SVC_AREA","1374 Glenmore","24"
"COMM_HLTH_SVC_AREA","1375 Downtown Kelowna","25"
"COMM_HLTH_SVC_AREA","1376 Rutland","26"
"COMM_HLTH_SVC_AREA","1377 Okanagan Mission","27"
"COMM_HLTH_SVC_AREA","1380 Summerland","28"
"COMM_HLTH_SVC_AREA","1390 Enderby","29"
"COMM_HLTH_SVC_AREA","1410 Revelstoke","30"
"COMM_HLTH_SVC_AREA","1420 Salmon Arm","31"
"COMM_HLTH_SVC_AREA","1431 Kamloops Centre North","32"
"COMM_HLTH_SVC_AREA","1432 Kamloops Centre South","33"
"COMM_HLTH_SVC_AREA","1433 Lower Thompson","34"
"COMM_HLTH_SVC_AREA","1440 100 Mile House","35"
"COMM_HLTH_SVC_AREA","1450 North Thompson","36"
"COMM_HLTH_SVC_AREA","1461 West Cariboo","37"
"COMM_HLTH_SVC_AREA","1462 Williams Lake/East Cariboo","38"
"COMM_HLTH_SVC_AREA","1470 Lillooet","39"
"COMM_HLTH_SVC_AREA","1480 South Cariboo","40"
"COMM_HLTH_SVC_AREA","1490 Merritt","41"
"COMM_HLTH_SVC_AREA","2110 Hope","42"
"COMM_HLTH_SVC_AREA","2121 South Chilliwack","43"
"COMM_HLTH_SVC_AREA","2122 North Chilliwack","44"
"COMM_HLTH_SVC_AREA","2131 Central Abbotsford","45"
"COMM_HLTH_SVC_AREA","2132 East Abbotsford","46"
"COMM_HLTH_SVC_AREA","2133 West Abbotsford","47"
"COMM_HLTH_SVC_AREA","2134 Abbotsford Rural","48"
"COMM_HLTH_SVC_AREA","2141 South Mission","49"
"COMM_HLTH_SVC_AREA","2142 North Mission","50"
"COMM_HLTH_SVC_AREA","2150 Agassiz/Harrison","51"
"COMM_HLTH_SVC_AREA","2210 New Westminster","52"
"COMM_HLTH_SVC_AREA","2221 Burnaby Northwest","53"
"COMM_HLTH_SVC_AREA","2222 Burnaby Northeast","54"
"COMM_HLTH_SVC_AREA","2223 Burnaby Southwest","55"
"COMM_HLTH_SVC_AREA","2224 Burnaby Southeast","56"
"COMM_HLTH_SVC_AREA","2231 Haney","57"
"COMM_HLTH_SVC_AREA","2232 Pitt Meadows","58"
"COMM_HLTH_SVC_AREA","2233 Maple Ridge Rural","59"
"COMM_HLTH_SVC_AREA","2241 North Coquitlam","60"
"COMM_HLTH_SVC_AREA","2242 Southwest Coquitlam","61"
"COMM_HLTH_SVC_AREA","2243 Southeast Coquitlam","62"
"COMM_HLTH_SVC_AREA","2244 Port Coquitlam","63"
"COMM_HLTH_SVC_AREA","2245 Port Moody/Anmore/Belcarra","64"
"COMM_HLTH_SVC_AREA","2311 City of Langley","65"
"COMM_HLTH_SVC_AREA","2312 Walnut Grove/Fort Langley","66"
"COMM_HLTH_SVC_AREA","2313 Willoughby","67"
"COMM_HLTH_SVC_AREA","2314 Brookswood/Murrayville","68"
"COMM_HLTH_SVC_AREA","2315 Aldergrove/Otter","69"
"COMM_HLTH_SVC_AREA","2316 North Langley Township","70"
"COMM_HLTH_SVC_AREA","2317 South Langley Township","71"
"COMM_HLTH_SVC_AREA","2321 North Delta","72"
"COMM_HLTH_SVC_AREA","2322 Ladner","73"
"COMM_HLTH_SVC_AREA","2323 Tsawwassen","74"
"COMM_HLTH_SVC_AREA","2331 Whalley","75"
"COMM_HLTH_SVC_AREA","2332 North Surrey","76"
"COMM_HLTH_SVC_AREA","2333 Cloverdale","77"
"COMM_HLTH_SVC_AREA","2334 Panorama","78"
"COMM_HLTH_SVC_AREA","2335 East Newton","79"
"COMM_HLTH_SVC_AREA","2336 Fleetwood","80"
"COMM_HLTH_SVC_AREA","2337 Guildford","81"
"COMM_HLTH_SVC_AREA","2338 West Newton","82"
"COMM_HLTH_SVC_AREA","2341 South Surrey","83"
"COMM_HLTH_SVC_AREA","2342 White Rock","84"
"COMM_HLTH_SVC_AREA","3111 Richmond City Centre","85"
"COMM_HLTH_SVC_AREA","3112 Blundell","86"
"COMM_HLTH_SVC_AREA","3113 Broadmoor","87"
"COMM_HLTH_SVC_AREA","3114 Thompson/Seafair","88"
"COMM_HLTH_SVC_AREA","3115 Steveston","89"
"COMM_HLTH_SVC_AREA","3116 East and West Cambie/Bridgeport","90"
"COMM_HLTH_SVC_AREA","3117 Gilmore/Shellmont/East/Hamilton","91"
